after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
88	8.46015492554882e-66	88	1.19607852026851e-65
176	2.75840973257705e-45	176	4.37295915694303e-43
264	1.79384567487107e-34	264	5.0724685910929e-32
352	1.51017413131964e-27	352	5.6766781931916e-24
440	3.34588334813726e-23	440	1.45702955683293e-19
528	9.18999815257584e-20	528	1.60145874637439e-16
616	4.37771791981204e-17	616	1.77532526810072e-13
704	3.2284014559405e-15	704	2.85299662604018e-11
792	1.15187975197978e-13	792	1.26897147676532e-9
880	1.99263578082701e-12	880	2.46292114254865e-8
968	2.52442310397232e-11	968	2.22081921119363e-7
1056	2.79856136751383e-10	1056	1.45354622313029e-6
1144	2.06364836100496e-9	1144	7.20711369160559e-6
1232	1.1932743156461e-8	1232	2.62914380642198e-5
1320	5.41336332290981e-8	1320	7.79789740351525e-5
1408	1.96170568459243e-7	1408	0.00019571213985142
1496	5.97762239139745e-7	1496	0.0004347820476986
1584	1.69701745843322e-6	1584	0.00083066493380331
1672	3.73473833909108e-6	1672	0.00147621035081719
1760	7.54197154577546e-6	1760	0.0024139613264054
1848	1.47160157117457e-5	1848	0.003701318784647
1936	2.6908388172552e-5	1936	0.00540302901117965
2024	4.70105811261333e-5	2024	0.00755020588912763
2112	7.91892341360799e-5	2112	0.0101589709778367
2200	0.00012793651961975	2200	0.0132726074155404
2288	0.00019921908834872	2288	0.0168809887115053
2376	0.00029798522544493	2376	0.020887225397112
2464	0.00043297276602687	2464	0.0253210554615033
2552	0.00061370640288117	2552	0.0301222662437042
2640	0.00084325765268807	2640	0.0352409592389005
2728	0.00113956859587465	2728	0.0405800660626726
2816	0.0015086349352942	2816	0.0460907141730689
2904	0.00195852502531216	2904	0.0517287030311924
2992	0.00250564226074023	2992	0.0574632112076275
3080	0.00313712786286496	3080	0.0632153882061521
3168	0.00386029438966413	3168	0.068959702600653
3256	0.00469898485918066	3256	0.0746545020215423
3344	0.00564138784087221	3344	0.0802323394461623
3432	0.00669810841961591	3432	0.0857221685997379
3520	0.0078340189186407	3520	0.0911230519142619
3608	0.00908239853262945	3608	0.0964475089348433
3696	0.0104496207715575	3696	0.101687301119565
3784	0.0119486471945203	3784	0.106836974444642
3872	0.013547594677937	3872	0.11186481752293
3960	0.0152509431399227	3960	0.116814528035825
4048	0.0170410983526162	4048	0.121691910838599
4136	0.0189593029420261	4136	0.1265195897916
4224	0.0209649051326949	4224	0.13129545274486
4312	0.0230476358831007	4312	0.136035981692703
4400	0.0252192259126543	4400	0.14072735473549
4488	0.0274840308421718	4488	0.145396496005967
4576	0.0298551175927266	4576	0.150044332218947
4664	0.0323221993735129	4664	0.154699629990162
4752	0.0348731333473681	4752	0.159341323284321
4840	0.0374771854371958	4840	0.163897660429227
4928	0.0401273660957664	4928	0.168402757212835
5016	0.0428022457097324	5016	0.172948616764105
5104	0.0454728429522347	5104	0.17753155133169
5192	0.0481859550830266	5192	0.182123291988724
5280	0.0509428774559727	5280	0.18677228347012
5368	0.0537671134308231	5368	0.19139010606622
5456	0.0566048562825145	5456	0.196030837244742
5544	0.0594947186772614	5544	0.200728236999486
5632	0.0623854737178725	5632	0.205466883128913
