after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
110	4.46829636348492e-157	110	8.81673038675607e-150
220	5.79084165547006e-74	220	8.74010544721918e-69
330	1.07938073436667e-44	330	1.59193945198997e-32
440	1.19131768555966e-27	440	3.3884070660274e-16
550	8.18686375120759e-20	550	2.83919242646991e-8
660	2.38134973473966e-13	660	0.00060545698130362
770	4.01931485673367e-10	770	0.0616111664796203
880	1.73584821457329e-7	880	0.206739199769627
990	7.04035823282385e-6	990	0.246181169983578
1100	0.00026362074178355	1100	0.250085825076405
1210	0.00373660146647675	1210	0.250491858719841
1320	0.0158337701474179	1320	0.250654864894452
1430	0.044615750375289	1430	0.251581035417392
1540	0.0875909214737854	1540	0.255013931270733
1650	0.133443560469993	1650	0.26349015088117
