after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
110	0.00326201495454354	110	0.003451500329518
220	0.00357477083353325	220	0.00448704254576018
330	0.00418213230608659	330	0.00715541580103935
440	0.00504522260472704	440	0.0149267075958758
550	0.00644266849577096	550	0.0353808109126417
660	0.00873651401677854	660	0.074218874642278
770	0.0125110635493008	770	0.123841700057507
880	0.0181046594170272	880	0.168650012134827
990	0.028073673093687	990	0.206693355495327
1100	0.0422860623134575	1100	0.238351591416339
1210	0.0600927292352646	1210	0.265568219150512
1320	0.0828883036788489	1320	0.292677861150452
1430	0.107730514457976	1430	0.320802544571043
1540	0.132375267871651	1540	0.35016693760359
1650	0.156126606006527	1650	0.38089124067733
