after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
110	0.00339291300887242	110	0.00428703322484176
220	0.00441098704003581	220	0.0139411115137745
330	0.00718464572098633	330	0.072270197883577
440	0.0152378605368713	440	0.166186362751421
550	0.0370299042165045	550	0.234621845336574
660	0.0780121871526682	660	0.288840404940284
770	0.12790819746971	770	0.342077437071196
880	0.161971508450397	880	0.402414670029642
990	0.178750590628575	990	0.467162974977763
1100	0.196243518543125	1100	0.507661464228323
1210	0.213056694037839	1210	0.545712818572762
1320	0.230808364814093	1320	0.581822347064642
1430	0.249720558968919	1430	0.616332493281791
1540	0.268049617083415	1540	0.648723885042667
1650	0.286685467135058	1650	0.679408154635014
