after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
88	1.1576270973737e-180	88	6.87495994153214e-175
176	1.41526450623514e-87	176	9.67601133902174e-40
264	1.73041680777817e-46	264	1.018626949667e-16
352	6.86120439111603e-29	352	2.02294940205311e-9
440	3.04815318186754e-20	440	3.87072632118694e-6
528	5.33321693338121e-15	528	0.00019092225935248
616	3.30025675790866e-11	616	0.00185145155021855
704	8.90419173447979e-9	704	0.0071613257653334
792	4.15288725799986e-7	792	0.0173342664342082
880	6.5294921851741e-6	880	0.0316516730183764
968	5.05519364312837e-5	968	0.0481550350474292
1056	0.0002298769945069	1056	0.0652549607001306
1144	0.00073366246499345	1144	0.0818131639069213
1232	0.00182395176476878	1232	0.0970785586159265
1320	0.00378267444331479	1320	0.110914347854357
1408	0.00678022570339691	1408	0.123336043293031
1496	0.0109539202996682	1496	0.134538076902845
1584	0.0160839921076642	1584	0.144762333129082
1672	0.0221550169513805	1672	0.154320261193289
1760	0.028970721603929	1760	0.163520271705832
1848	0.0363678594527398	1848	0.172531358313424
1936	0.0440946700282146	1936	0.181499407822165
2024	0.0521083850721425	2024	0.190652762308483
2112	0.0602104162279345	2112	0.200064941046027
2200	0.0682439672080877	2200	0.20972489069235
2288	0.0760406424960212	2288	0.219634375943756
2376	0.0836329448239935	2376	0.229715413193272
2464	0.0909625778401313	2464	0.239917905542712
2552	0.0979747943194747	2552	0.25018848844447
2640	0.10467004222245	2640	0.260508982924822
2728	0.111044496665596	2728	0.270787012091369
2816	0.11713936094974	2816	0.281062963452193
2904	0.122982311723254	2904	0.291317266471013
2992	0.128611305661754	2992	0.30161113945004
3080	0.134015809337804	3080	0.311955194091833
3168	0.139259791280084	3168	0.322187983473726
3256	0.144353075105685	3256	0.33248599137753
3344	0.149342299952014	3344	0.343052367011211
3432	0.154248078804012	3432	0.353952036988234
3520	0.159115966714453	3520	0.365282496701365
3608	0.163971424871842	3608	0.377202241217946
3696	0.168850689358412	3696	0.38980128267518
3784	0.173741443232145	3784	0.403145291244663
3872	0.178663892945434	3872	0.417178612502227
3960	0.183611730340052	3960	0.431931011146197
4048	0.188615793206507	4048	0.44738042925596
4136	0.193640458330618	4136	0.463523786912202
4224	0.198657674996608	4224	0.480298252099919
4312	0.20374030625262	4312	0.497604212761906
4400	0.208860556640921	4400	0.515259977729654
4488	0.214036241624746	4488	0.533194837320056
4576	0.219255943149601	4576	0.551320490338408
4664	0.224516723063363	4664	0.569411816391778
4752	0.229853615687858	4752	0.587389047598493
4840	0.235248809731674	4840	0.605289138730701
4928	0.240607136534409	4928	0.623086403216067
5016	0.245992839166644	5016	0.640619491116012
5104	0.251442674017983	5104	0.657839837823009
5192	0.256948811038288	5192	0.674769897882626
5280	0.262489185602975	5280	0.691421770598927
5368	0.268074190486202	5368	0.707752794726287
5456	0.273684237723282	5456	0.723749545308172
5544	0.279237349172788	5544	0.739469119277381
5632	0.284830922803827	5632	0.754844849776762
