after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
110	0.112940922325458	110	0.113994521238495
220	0.114389905033442	220	0.120293898042445
330	0.117482862609626	330	0.134019275999516
440	0.122351469132351	440	0.158488210247313
550	0.128737460382981	550	0.194845547648309
660	0.138319501984605	660	0.235557839575738
770	0.14976032905997	770	0.277872542190047
880	0.164321998130217	880	0.316512991393559
990	0.182390990223473	990	0.352499450703137
1100	0.202015571181733	1100	0.385607753240286
1210	0.221879190825398	1210	0.416709282103158
1320	0.243325464459181	1320	0.447369159414457
1430	0.265384919447524	1430	0.477598302915326
1540	0.286571753041768	1540	0.507617732007996
1650	0.307637465636391	1650	0.535704287894125
