Input 1	
X(None)	Y(None)
88	22.9568617422957
176	21.7936830167092
264	19.5482229490451
352	19.3025777985963
440	18.4018785811245
528	17.7136771093547
616	16.9898670556285
704	16.4891310420868
792	15.8511382270626
880	15.3770728239741
968	14.784282387584
1056	14.4903304651407
1144	14.0867394528658
1232	13.7681407066658
1320	13.2571829084476
1408	12.8854099387382
1496	12.3209464928531
1584	12.2745721370724
1672	11.9327577528916
1760	11.6577858850727
1848	11.4153026191762
1936	11.0361449262534
2024	10.8694326298818
2112	10.5656293185442
2200	10.172803886458
2288	9.93798689544074
2376	9.72115812209891
2464	9.47380133830483
2552	9.29032293929754
2640	8.9283661642314
88	23.3169334139923
176	22.3016310529273
264	19.9556694300858
352	19.7726826900968
440	18.8325807585084
528	18.1070362505373
616	17.3197428892634
704	16.7635676246953
792	16.0671682310435
880	15.5375283223171
968	14.8844208790645
1056	14.5408196774192
1144	14.0858271385965
1232	13.7169852543507
1320	13.1417450382316
1408	12.7371784715392
1496	12.1330973800106
1584	12.0309063172481
1672	11.6460138327583
1760	11.3268671172792
1848	11.051614181029
1936	10.6431624393682
2024	10.4294982953418
2112	10.0826281415157
2200	9.66416324136047
2288	9.40296935822926
2376	9.15814679374279
2464	8.88031539697199
2552	8.66457860788302
2640	8.28848956861355
88	23.6018327515715
176	22.6711619849311
264	20.2024193644117
352	20.0083473984655
440	18.9870819094646
528	18.1801213108141
616	17.3036327188451
704	16.653593094089
792	15.882575029359
880	15.2757582044743
968	14.5610901837928
1056	14.1399892735536
1144	13.6217167244742
1232	13.1863539291218
1320	12.5552758819135
1408	12.1114447352669
1496	11.4831038802524
1584	11.3023866528908
1672	10.8737965318737
1760	10.5073500757052
1848	10.193528761123
1936	9.76092375365688
2024	9.49441206456832
2112	9.10944705626427
2200	8.67678787092294
2288	8.38797733472999
2376	8.11339609454656
2464	7.81016156524318
2552	7.55483962475964
2640	7.17590874453442
88	23.8014975968135
176	22.8530786161257
264	20.2368923658779
352	19.9237879903004
440	18.7752761768527
528	17.8408586742184
616	16.8565138312451
704	16.08547076248
792	15.2352253571474
