after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
88	4.75319444265552e-7	88	3.28891568053917e-7
176	1.35835316457585e-6	176	1.10659678306568e-6
264	0.00018280663187021	264	0.0001873690328828
352	0.00015363593471121	352	0.0001362390916537
440	0.00053219707536444	440	0.00052727456625677
528	0.00121932576330677	528	0.00102393228669734
616	0.00296993037640909	616	0.00254400461753629
704	0.00480637913634556	704	0.0041342508288345
792	0.00915117911043289	792	0.00733050958215068
880	0.0138349853527369	880	0.0117368314608425
968	0.022906121130748	968	0.0205534692147445
1056	0.0278462488614947	1056	0.0245432397750085
1144	0.0367896629263144	1144	0.0322137748491362
1232	0.0447273214103395	1232	0.0415443170091381
1320	0.0601463232136903	1320	0.0569672427304411
1408	0.0734695875972655	1408	0.0676691149598548
1496	0.0967171002198854	1496	0.0893609336223294
1584	0.0991001058541558	1584	0.0921547607912714
1672	0.114236338485878	1672	0.109191143191032
1760	0.12786735866992	1760	0.122145893143505
1848	0.140535910720568	1848	0.134037312913228
1936	0.160682749514262	1936	0.151402908145983
2024	0.170439060700715	2024	0.160706866901301
2112	0.187940214279923	2112	0.179214852809262
2200	0.211400152413886	2200	0.199827053993953
2288	0.226137673512065	2288	0.21189581444014
2376	0.239920342986989	2376	0.222785484813825
2464	0.255653067890136	2464	0.237242517689073
2552	0.267483038373741	2552	0.249410761950524
2640	0.290178739924117	2640	0.273025869510515
88	2.62158588663684e-7	88	1.72244057284781e-7
176	5.31741448582016e-7	176	4.30396654105745e-7
264	0.00012034093328295	264	0.00012141564938465
352	9.03187584741166e-5	352	7.44732481590256e-5
440	0.00035109035364205	440	0.00032966972677589
528	0.00086668562575328	528	0.00069911171778051
616	0.00233140840714177	616	0.00197110564378821
704	0.00401378216536933	704	0.00342196541775779
792	0.00816673334267226	792	0.00649198989617584
880	0.012899358831922	880	0.0110460034649951
968	0.0224143494372838	968	0.0201076030249986
1056	0.0279612383009962	1056	0.0245470804225362
1144	0.0379225667735642	1144	0.0329405895324617
1232	0.047078044067022	1232	0.0432664054048823
1320	0.0648696278649464	1320	0.060218143807559
1408	0.0796370717158478	1408	0.0719911240968314
1496	0.104867609790081	1496	0.0960336336337478
1584	0.109645132382911	1584	0.100779865227343
1672	0.127262651983649	1672	0.120350987977422
1760	0.143427416098611	1760	0.134963487852252
1848	0.158187566159434	1848	0.14887985048125
1936	0.180629051322626	1936	0.168520977860463
2024	0.193281697331686	2024	0.180039580543743
2112	0.213602175067863	2112	0.200733518740811
2200	0.239053161390904	2200	0.223731266961115
2288	0.255666783807694	2288	0.238130841426483
2376	0.271319500226092	2376	0.251326780805014
2464	0.289219716517865	2464	0.267738430478712
2552	0.303048253400952	2552	0.281718547586629
2640	0.326397074647227	2640	0.306309463069825
88	1.66567644675242e-7	88	1.03413561882427e-7
176	2.85553394535575e-7	176	2.37621917998341e-7
264	0.0001010553425712	264	9.93939671816754e-5
352	8.09901759357474e-5	352	6.28036310303952e-5
440	0.00036547134660333	440	0.0003213819729574
528	0.0010081834322329	528	0.00079305520091642
616	0.00285457318279321	616	0.00243381721788994
704	0.00528978196153824	704	0.00453810531449099
792	0.0108469980174875	792	0.00880308497011009
880	0.017413318662772	880	0.0152333380306786
968	0.0297366579585335	968	0.0268502270492045
1056	0.0379612794100738	1056	0.0336033210545409
1144	0.0513934253401659	1144	0.045016045823797
1232	0.0642180537058294	1232	0.058758216174318
1320	0.0869062583459894	1320	0.0798276733012711
1408	0.105165306617225	1408	0.0947343177405736
1496	0.134165596961298	1496	0.122732869636912
1584	0.143367141205509	1584	0.131503884773064
1672	0.165068688314917	1672	0.155086280680656
1760	0.185154682412384	1760	0.172880950557543
1848	0.20339374144269	1848	0.190110284645138
1936	0.228817719280992	1936	0.213048404586178
2024	0.245322887570626	2024	0.228096367165272
2112	0.268856893554651	2112	0.251364694388829
2200	0.296024880375987	2200	0.276757624068314
2288	0.314798437597807	2288	0.294272327881729
2376	0.332372299584949	2376	0.310353371124301
2464	0.352173336621655	2464	0.328790970442307
2552	0.36818406081994	2552	0.344915936182721
2640	0.391496766968313	2640	0.369965636695413
88	1.25113177208829e-7	88	7.33539928704368e-8
176	2.49898599863926e-7	176	2.20273460038042e-7
264	0.00011806589497408	264	0.00011259320181653
352	0.00012633536681204	352	9.69958431802111e-5
440	0.00064515071375797	440	0.00054992696804011
528	0.00194566229220801	528	0.00155985812506668
616	0.00535924283370792	616	0.00468396590366521
704	0.0102791980264103	704	0.00897437043473032
792	0.0198120318941498	792	0.0167032555573012
880	0.0310975191847973	880	0.0276876804785925
968	0.0493325963835624	968	0.0448470178362679
1056	0.063097959164337	1056	0.0566291896166355
1144	0.0827564817847906	1144	0.0738633533274057
1232	0.10204777577556	1232	0.0935667447253251
1320	0.131635248533985	1320	0.121063267619057
1408	0.15499504727345	1408	0.141183750964983
1496	0.18879771495939	1496	0.174029672564718
1584	0.20412373998245	1584	0.188750576308121
1672	0.230711442729245	1672	0.216856322810512
1760	0.255305550628293	1760	0.238900116602292
1848	0.277523247069982	1848	0.260149138897302
1936	0.305627124913097	1936	0.286477330488414
2024	0.325805328659246	2024	0.305473497411016
2112	0.351856755679621	2112	0.330943453595734
2200	0.379605215686611	2200	0.35803146658648
2288	0.399940341900939	2288	0.378433758857347
2376	0.418618527507809	2376	0.396998262757836
2464	0.439008819531185	2464	0.416837624923677
2552	0.45648216910177	2552	0.434760540756763
2640	0.478754222176698	2640	0.459212513274705
88	1.15071079552507e-7	88	6.38999715934602e-8
176	4.17969388049311e-7	176	3.96216301579319e-7
264	0.00020393255572705	264	0.00018922676568253
352	0.0003398380895893	352	0.00027482734016013
440	0.00176403732884457	440	0.00152228440810983
528	0.00526387812492414	528	0.0044186580900496
616	0.0129371761198416	616	0.0116123899666426
704	0.0238971347596904	704	0.0212182736586751
792	0.0413149623590442	792	0.0360877642436753
880	0.061252368646583	880	0.0552288732092379
968	0.0885088292184384	968	0.0810428932935873
1056	0.110992837926162	1056	0.100904719897107
1144	0.139143640994013	1144	0.126502401981986
1232	0.166993849419508	1232	0.154174265313005
1320	0.204006037447626	1320	0.189064235043682
1408	0.233172874457664	1408	0.215503330117632
1496	0.271357135999127	1496	0.2529047748399
1584	0.293010932197447	1584	0.274357315523072
1672	0.323602071038735	1672	0.306236930174435
1760	0.35173403600669	1760	0.332376741597371
1848	0.376971576176501	1848	0.357136776553063
1936	0.406218837337813	1936	0.385477799149798
2024	0.428340360073715	2024	0.4073923550524
2112	0.45496425029013	2112	0.433801636559561
2200	0.481348384664874	2200	0.460950349700113
2288	0.501774640341685	2288	0.482621220843561
2376	0.520259918495394	2376	0.502048925197421
2464	0.539239775010529	2464	0.521999407936157
2552	0.556732500849796	2552	0.540460671761892
2640	0.576677786677405	2640	0.562708169024937
88	1.3720971386445e-7	88	7.35953626314135e-8
176	1.45058813037695e-6	176	1.42865752386379e-6
264	0.00050943878305543	264	0.00046409022390503
352	0.00128281645058335	352	0.00110270306957257
440	0.00580252321954435	440	0.00514188580299835
528	0.0153587117765565	528	0.0134358593299026
616	0.0322197564001853	616	0.0293838693321677
704	0.0544008015696197	704	0.0490099170544312
792	0.0838211143068274	792	0.0752166283890771
880	0.116037075742557	880	0.105891845027216
968	0.154161773694373	968	0.142500857022529
1056	0.187406174440079	1056	0.172726851491752
1144	0.224616070949907	1144	0.207829919185604
1232	0.261063614187748	1232	0.243791678317798
1320	0.303667779266339	1320	0.285045716044919
1408	0.337444595667329	1408	0.317270265830686
1496	0.3775499245989	1496	0.357382855269463
1584	0.4033271221193	1584	0.38389060340354
1672	0.435092932130448	1672	0.417251800123783
1760	0.464092054254323	1760	0.445622678054906
1848	0.489904853580086	1848	0.471759269430537
1936	0.517729467453463	1936	0.499704620114023
2024	0.539169962533948	2024	0.522113585433438
2112	0.563824751707497	2112	0.547451789700114
2200	0.587046138536764	2200	0.572422943601997
2288	0.605858676689556	2288	0.592899730986225
2376	0.622948579668493	2376	0.611109427733978
2464	0.639182327641529	2464	0.629501265538943
2552	0.655040615383241	2552	0.646638187654912
2640	0.671740586432037	2640	0.665367247948445
88	2.24692145658211e-7	88	1.22280636977086e-7
176	9.34416616459957e-6	176	9.03080858860808e-6
264	0.00163328375763496	264	0.00147145233225119
352	0.00513565542414621	352	0.00457734803682551
440	0.0181172422323121	440	0.0163931735519685
528	0.0402775690454773	528	0.0361874826358328
616	0.0722948958388467	616	0.0664912499561029
704	0.110589976717538	704	0.10089806917004
792	0.154567404240154	792	0.141456373660332
880	0.20059315629169	880	0.185699396331408
968	0.249184844722208	968	0.233381356402523
1056	0.29230712868721	1056	0.273959998332513
1144	0.336336994782548	1144	0.317166979861454
1232	0.378224143296436	1232	0.359079980709453
1320	0.422161765921056	1320	0.403094982789911
1408	0.457373347520131	1408	0.438419369927959
1496	0.495512043419847	1496	0.477761400169897
1584	0.521951924917186	1584	0.505701709823762
1672	0.551520466250579	1672	0.537368005863077
1760	0.578336447558576	1760	0.56500793587677
1848	0.60210467982903	1848	0.589783428946067
1936	0.626220379611205	1936	0.614883245666912
2024	0.645046542225665	2024	0.635391236641711
2112	0.665941028194651	2112	0.657656166784984
2200	0.685102009509507	2200	0.67851668174688
2288	0.701047796801548	2288	0.695940226619919
2376	0.715919883633377	2376	0.711410132378887
2464	0.729323979243187	2464	0.726872434201607
2552	0.742321718986885	2552	0.740981501829101
2640	0.755641036127318	2640	0.755707020306513
88	5.61098657724052e-7	88	3.29015592635738e-7
176	8.12358696579589e-5	176	7.45396241896096e-5
264	0.00558457794162233	264	0.00499710992558396
352	0.0176459869562549	352	0.0159626503469561
440	0.0475469492458794	440	0.0434536680254628
528	0.0893952604724989	528	0.0814799760442997
616	0.141133084023362	616	0.1306045316074
704	0.197788207694868	704	0.182952579381752
792	0.255558368387327	792	0.238301537632431
880	0.312859858658711	880	0.295011156498979
968	0.368116785966863	968	0.350687756232604
1056	0.416229333751272	1056	0.397902755107511
1144	0.461897066736612	1144	0.444460512207031
1232	0.503637652970919	1232	0.487301890414572
1320	0.544106831125102	1320	0.529169048648034
1408	0.577068346180696	1408	0.563553612666194
1496	0.610066377492882	1496	0.598528203874462
1584	0.634435969620481	1584	0.624441878285995
1672	0.659650759398567	1672	0.651832186817575
1760	0.682259595017904	1760	0.676014844226772
1848	0.702306470397311	1848	0.697430684809445
1936	0.7216858359348	1936	0.718033770547248
2024	0.737281890142181	2024	0.73529839466173
2112	0.753724620877423	2112	0.753065968066702
2200	0.768752107105471	2200	0.769014641844071
2288	0.781226067830186	2288	0.78266046466082
2376	0.793188266903586	2376	0.794721764430319
2464	0.8039580724629	2464	0.806590927735346
2552	0.8136506753639	2552	0.817089241262674
2640	0.823665488827086	2640	0.827800572940886
88	2.2842141725746e-6	88	1.52594936665411e-6
176	0.00065532859834625	176	0.00058177060975707
264	0.017227404886372	264	0.0154741152492446
352	0.0478466140521964	352	0.0437024347995143
440	0.103021187802139	440	0.0948310561626366
528	0.169295461600467	528	0.156367161388712
616	0.241473857207256	616	0.226044200688538
704	0.313425701454121	704	0.29526028996683
792	0.379515923041046	792	0.361249924713331
880	0.441018853431507	880	0.424225947061668
968	0.4963761470864	968	0.481324486189166
