after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
22	3.15681234342807e-24	22	2.66168749018301e-24
44	1.50568865118618e-7	44	1.30116457853555e-7
66	0.00055144693547748	66	0.00050527229335267
88	0.00743648052569967	88	0.0070592336295981
110	0.0256632848874902	110	0.0247915194075839
132	0.0559992036578645	132	0.0543042404541277
154	0.0970273655280806	154	0.0940416952843453
176	0.144880403664411	176	0.140527838660423
198	0.195304339242146	198	0.189984081776643
220	0.245262938075031	220	0.239589203809079
242	0.293077468912665	242	0.287633852364916
264	0.337976821936358	264	0.333196340055246
286	0.379687881914392	286	0.375830376494936
308	0.418194641194262	308	0.415372548272442
330	0.453610111599727	330	0.451829208269064
352	0.486108841275877	352	0.485307503795842
374	0.515889813896912	374	0.515970536817722
396	0.543156946228841	396	0.544008629941689
418	0.568110097063764	418	0.569621951039045
440	0.590941516754144	440	0.593010499373859
