after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
88	1.96911646435561e-61	88	1.03186794590455e-60
176	9.23670808041183e-30	176	5.74462531425322e-27
264	4.19969835381946e-19	264	4.53565658441722e-16
352	2.94571890581587e-13	352	7.10789021472024e-10
440	3.84710274697288e-10	440	2.86598778679401e-6
528	1.60744945574252e-7	528	0.00056826859350829
616	7.4006414525925e-6	616	0.0110227785163707
704	7.95246045116419e-5	704	0.0576921901224441
792	0.00056853654210005	792	0.13047588118664
880	0.00221179116265055	880	0.158148261361652
968	0.00681541645606167	968	0.18773408921338
1056	0.014686251628314	1056	0.216575137346731
1144	0.0287460116504452	1144	0.24433742633205
1232	0.0465661360639803	1232	0.259083701604119
1320	0.0667066740341717	1320	0.267361417296308
1408	0.089895058025436	1408	0.278727958864594
1496	0.106438321987463	1496	0.293135736311534
1584	0.114174676278794	1584	0.309763125509532
1672	0.122638116138346	1672	0.329656308460631
1760	0.131930390601986	1760	0.351642747854226
1848	0.144613829176866	1848	0.376042758371187
1936	0.154020858688239	1936	0.402362093734639
2024	0.163383361270617	2024	0.428683178407338
2112	0.174648077182742	2112	0.454224689968836
2200	0.183456675589888	2200	0.478631534797342
2288	0.193437352153886	2288	0.50289446259311
2376	0.20602238163696	2376	0.525885963716627
2464	0.218439434544101	2464	0.544691348529391
2552	0.229254487203907	2552	0.561683320060117
2640	0.238592878019824	2640	0.578082994668214
2728	0.249068436398649	2728	0.594167151327655
2816	0.258476207095554	2816	0.610566530944419
2904	0.268990656429079	2904	0.625514497344273
2992	0.279024412017526	2992	0.640592093800422
3080	0.288121507344044	3080	0.653970978662046
3168	0.298549522491465	3168	0.667265263460668
3256	0.308284088143762	3256	0.679825241055553
3344	0.320141535335723	3344	0.693312344244628
3432	0.329732811384654	3432	0.705662478645955
3520	0.337510357321446	3520	0.717407683634314
3608	0.347127837972935	3608	0.728736360734728
3696	0.35709958332381	3696	0.739639910585814
3784	0.365676767897778	3784	0.750311033185204
3872	0.373942580120435	3872	0.76038188137388
3960	0.383207801730548	3960	0.770200983798692
4048	0.393784925576146	4048	0.780254671761243
4136	0.403597855165697	4136	0.789781585227379
4224	0.413225116467774	4224	0.79897977710135
4312	0.422715279167091	4312	0.807961481412919
4400	0.430160243218994	4400	0.816565911328027
4488	0.439209648996622	4488	0.82487684005224
4576	0.445480325029696	4576	0.832980831950242
4664	0.455372626411421	4664	0.840622602890239
4752	0.463959361289361	4752	0.848064460125759
4840	0.469669143012972	4840	0.855021697426535
4928	0.479527774131337	4928	0.86200113898643
5016	0.487026062991814	5016	0.868611078478264
5104	0.494603050632473	5104	0.874506185106199
5192	0.502852763228516	5192	0.880586404516015
5280	0.51102126143268	5280	0.886586752131054
5368	0.517330632457662	5368	0.891876649162961
5456	0.523750517328292	5456	0.897180182339239
5544	0.529478787578565	5544	0.90216334528393
5632	0.535426387874817	5632	0.906659344166224
