Input 1		Input 2	
X(None)	Y(None)	X(None)	Y(None)
88	30.0579751226793	88	28.4855322575584
176	27.0377068678946	176	24.2037335045211
264	24.6766071433464	264	21.2880726297575
352	22.8629552465574	352	19.0676800179552
440	21.550599342474	440	17.377852831109
528	20.2688296053117	528	15.8705003614669
616	19.2016346994311	616	14.5970771280635
704	18.2566181964214	704	13.4766081071085
792	17.4102298072773	792	12.4952598974915
880	16.6501515571963	880	11.6070446119184
968	15.9062699583916	968	10.7979123857717
1056	15.276536674317	1056	10.045486178977
1144	14.6250463828536	1144	9.31260858876258
1232	14.0455906036416	1232	8.67115231428559
1320	13.4983524313704	1320	8.23795987965103
1408	12.9787315225813	1408	7.79839159961363
1496	12.5133505431425	1496	7.36987792589335
1584	12.046706501843	1584	6.95649317401337
1672	11.6005083213006	1672	6.54464840370606
1760	11.2749370759576	1760	6.15390260311954
1848	11.0288141396136	1848	5.73308772369287
1936	10.8737219071914	1936	5.35409689650564
2024	10.731578425183	2024	4.99272330781594
2112	10.5265787114052	2112	4.63201581381461
2200	10.3641230129397	2200	4.27968447473194
2288	10.2028340576834	2288	3.92267647572284
2376	9.97778006403919	2376	3.57323949094488
2464	9.79269956953788	2464	3.23275106119426
2552	9.62767103139692	2552	2.89781518325559
2640	9.46917055018326	2640	2.56624273863254
2728	9.28488983455833	2728	2.24381196988186
2816	9.12299714258088	2816	1.92804111280773
2904	8.96375735356947	2904	1.62949181629728
2992	8.78843363370441	2992	1.31107093036221
3080	8.63732521855449	3080	0.984784678957963
3168	8.45025400135549	3168	0.67032455211893
3256	8.28766422366328	3256	0.377128045278312
3344	8.101907658285	3344	0.0530565562374737
3432	7.95351602563416	3432	-0.256011627740837
3520	7.78438303532616	3520	-0.564350198954784
3608	7.65933576760111	3608	-0.865382361815113
3696	7.52351664963016	3696	-1.17707044441098
3784	7.37616288321209	3784	-1.47695208062892
3872	7.20544948753336	3872	-1.76762565741471
3960	7.02112872266721	3960	-2.05923564258546
4048	6.85964352506465	4048	-2.35853493284741
4136	6.66906757673875	4136	-2.64389976447299
4224	6.52705541596716	4224	-2.94116888093602
4312	6.42440357332106	4312	-3.23603298747474
4400	6.25925848438526	4400	-3.53522165951183
4488	6.13911069645982	4488	-3.82079703765778
4576	5.96486521118741	4576	-4.13579772033444
4664	5.77533031765832	4664	-4.42907495212294
4752	5.63266783938253	4752	-4.72901327425509
4840	5.47915432512485	4840	-5.01723525601169
4928	5.30899885049698	4928	-5.3166542273164
5016	5.1700766187538	5016	-5.622813410094
5104	5.00371920345641	5104	-5.90030469828257
5192	4.83729846442684	5192	-6.21256244413254
5280	4.72812387040799	5280	-6.53724871106368
5368	4.60214697220717	5368	-6.83548033133422
5456	4.39139953669343	5456	-7.16285845880636
5544	4.24343111767607	5544	-7.48506328480004
5632	4.11649015010986	5632	-7.79970182076174
