Input 1		Input 2	
X(None)	Y(None)	X(None)	Y(None)
22	1.10607613587988e-183	22	1.09118355443332e-184
44	5.22678806572551e-94	44	2.87874288006287e-94
66	4.25279038832616e-64	66	1.338688216172e-64
88	1.12567574476429e-48	88	1.96219456938248e-48
110	3.08302755954955e-38	110	3.47118916463555e-38
132	8.8699513491626e-32	132	2.31617130078371e-30
154	4.28801791668995e-27	154	4.03860181511151e-25
176	1.22166525600093e-23	176	1.76079371955177e-21
198	4.08008831402464e-21	198	4.44136478673315e-18
220	3.9624466607292e-18	220	2.11309770183222e-15
242	1.92997037746262e-16	242	2.63853346257402e-13
264	1.23304256744744e-14	264	1.59284230017396e-11
286	5.46159120535449e-13	286	4.93716607703541e-10
308	2.38307300971636e-12	308	4.79566335008954e-9
330	2.19307715347178e-11	330	6.08318378364206e-8
352	2.20742861773969e-10	352	5.2237028365603e-7
374	1.41716198498064e-9	374	2.69922566006774e-6
396	6.11634332719612e-9	396	1.54824681092658e-5
418	3.50947534193323e-8	418	8.2597067486365e-5
440	1.17441008503869e-7	440	0.00031819969775062
462	3.40747272295389e-7	462	0.00097942792507314
484	1.05533039144658e-6	484	0.00253756464111661
506	3.32403192643371e-6	506	0.00531269733679281
528	9.2282941834693e-6	528	0.010156302141697
550	1.60060710614716e-5	550	0.0180932328150766
572	3.67799622657468e-5	572	0.0302647367971187
594	6.42770830210225e-5	594	0.0464193014570469
616	0.0001200524394827	616	0.0636613468429319
638	0.00018348031919706	638	0.0851546771740062
660	0.00028416398900193	660	0.106699147761301
22	0	22	0
44	6.15524077503584e-182	44	2.11263934675242e-173
66	4.2483105535277e-119	66	2.34519844760107e-110
88	7.051082003835e-89	88	9.00527035493646e-79
110	2.59389775646693e-68	110	6.39528718574713e-57
132	3.37019996196047e-50	132	7.09513861486723e-39
154	8.47245185948004e-41	154	5.67900800131601e-28
176	1.27160409590245e-33	176	2.67596118526261e-20
198	4.07995196640968e-27	198	2.0904842758479e-14
220	3.13714299415448e-22	220	4.46278117149233e-10
242	4.43236480289385e-19	242	5.5068466952171e-7
264	8.88312058124917e-16	264	8.70378433108367e-5
286	2.1362084776046e-13	286	0.00266489454726431
308	1.12394953920688e-11	308	0.0254842585543541
330	4.41302554635189e-10	330	0.0905598871145421
352	1.67090860078072e-8	352	0.171562390823189
374	2.64532094284939e-7	374	0.221509895741951
396	2.88535124757023e-6	396	0.242635637332599
418	1.6280863364579e-5	418	0.249675996897432
440	7.39436459623087e-5	440	0.251934220921965
462	0.0003575331713476	462	0.252483158281368
484	0.0011458681640259	484	0.252631602931974
506	0.00327671632740218	506	0.252686101473786
528	0.00794422872355214	528	0.252729196169427
550	0.014838487728918	550	0.252828124895289
572	0.0259327119351258	572	0.25308024808569
594	0.0409459521183388	594	0.253615503634818
616	0.0596938533465102	616	0.254662232736573
638	0.0806454208215926	638	0.256410700554887
660	0.104905125658085	660	0.259376287611222
22	0	22	0
44	9.33519331424115e-262	44	1.03832389013567e-240
66	1.28958152024492e-163	66	4.12471276007861e-142
88	2.56488543575087e-111	88	5.02791299142341e-84
110	6.40564011089752e-80	110	1.4350642214448e-51
132	3.00436577129701e-56	132	4.41230934106834e-29
154	7.86360985206295e-43	154	1.29471507992898e-15
176	1.32042705640889e-32	176	4.16629426125281e-8
198	8.36022912717871e-25	198	0.00104064310333387
220	1.0980055981603e-18	220	0.079201092327971
242	1.39479105000426e-14	242	0.226884842027575
264	2.96582674085328e-11	264	0.251846638522184
286	1.22704456874706e-8	286	0.252670604833575
308	1.33113692239147e-6	308	0.252685276378704
330	4.45382373899397e-5	330	0.252685540124862
352	0.00057649299244325	352	0.252685574493496
374	0.004257924908562	374	0.252686396990095
396	0.0191849502530255	396	0.252698804212948
418	0.0517074061891075	418	0.252818214167971
440	0.0989832672986379	440	0.253540648548965
462	0.147617706794294	462	0.255948141976959
484	0.189631218155512	484	0.263107642810562
506	0.217262858894978	506	0.278931137169746
528	0.234790491648719	528	0.303009531631645
550	0.244117209367936	550	0.335895431125648
572	0.248517385393784	572	0.374714684265783
594	0.250810943447281	594	0.413013306105381
616	0.25187002511602	616	0.444692172166289
638	0.252340828697004	638	0.467850049380983
660	0.252530712136046	660	0.484717129848755
22	0	22	0
44	1.87250879773832e-321	44	1.48514794285677e-278
66	2.24517301920831e-192	66	1.79971569404456e-146
88	2.77704999635883e-121	88	1.03509057997289e-71
110	1.38202679790987e-81	110	3.00305705678087e-33
132	6.48280678847636e-54	132	3.27717372687499e-12
154	1.07041541848974e-37	154	0.00182334040991724
176	3.94727623797296e-26	176	0.211435960760567
198	7.23319503005557e-18	198	0.252643624999877
220	6.93811496885764e-12	220	0.252685542151097
242	7.30347100673318e-8	242	0.252685546874667
264	2.80463474016822e-5	264	0.252685546875699
286	0.00166722300144018	286	0.252685549298529
308	0.0224276416722822	308	0.252686298459621
330	0.0911707810262348	330	0.252737435822265
352	0.177168711397477	352	0.253878843492684
374	0.228426477025903	374	0.262586175794079
396	0.246398689235329	396	0.292160588961652
418	0.251444906817185	418	0.343344161226467
440	0.252487159239904	440	0.402237929524882
462	0.252648870691261	462	0.455212152372967
484	0.252679356625243	484	0.485475633222884
506	0.252684317213735	506	0.497984721243091
528	0.252685524110993	528	0.502031856804507
